Data,surface_temperature-NE,surface_temperature-N,surface_temperature-C.O.,surface_temperature-SE,surface_temperature-S
1850-01,298.80103,299.19934,298.53107,296.63654,297.0561
1850-02,298.22418,299.42822,298.38992,296.68738,296.59604
1850-03,298.03595,298.88025,297.7198,295.98474,295.53223
1850-04,297.70148,298.0437,296.7568,294.73694,293.16553
1850-05,297.30243,297.76224,294.79468,293.53333,289.39334
1850-06,296.69147,297.25134,292.78253,291.61774,288.26685
1850-07,296.6408,297.44702,293.74872,291.66733,286.5568
1850-08,297.66998,299.3194,297.16977,293.99957,288.8249
1850-09,299.99295,300.1419,299.17816,294.50592,291.6279
1850-10,301.779,299.47095,299.69504,295.90353,293.64432
1850-11,299.27368,299.11398,299.27606,296.5495,296.42798
1850-12,298.74585,298.50195,298.37686,296.6396,296.47162
1851-01,299.71124,298.4737,298.0643,296.7907,297.60333
1851-02,298.86148,298.63623,297.1023,296.73752,298.33224
1851-03,297.71713,298.19934,297.26605,296.1819,296.67014
1851-04,297.45795,297.95502,296.11435,295.16608,291.72073
1851-05,296.7328,297.72247,294.1266,293.09604,289.55807
1851-06,296.7572,297.0494,292.71576,291.6264,287.1969
1851-07,296.6245,297.8281,292.8107,291.46698,285.71304
1851-08,297.8267,299.2704,296.30933,293.72397,287.9947
1851-09,300.83142,300.373,299.46298,294.88785,290.03485
1851-10,299.8896,299.37875,298.22336,294.79315,292.90305
1851-11,299.51562,298.7458,298.91156,295.6967,295.32767
1851-12,298.4509,298.47876,298.43564,296.85068,298.02563
1852-01,298.69684,298.21533,298.44897,297.12262,299.3161
1852-02,298.75092,298.58093,298.29892,297.35294,296.3102
1852-03,298.23822,298.59717,297.80777,296.238,296.10858
1852-04,297.7234,298.34695,297.27075,295.07684,293.64493
1852-05,297.25433,298.06543,295.49197,294.47562,290.21295
1852-06,296.7912,297.4849,293.20502,292.18787,286.39102
1852-07,296.8188,297.73492,293.85968,292.07278,288.60797
1852-08,297.7323,299.00476,295.84543,293.6477,288.9869
1852-09,301.4644,300.1034,297.17218,294.8703,290.0582
1852-10,299.93707,299.2322,298.32208,295.32605,292.99567
1852-11,299.32758,298.89404,298.9967,295.94583,295.36758
1852-12,298.92682,298.403,297.89896,296.95566,297.07898
1853-01,299.24612,298.53534,298.12952,297.06177,298.22845
1853-02,298.72247,298.32996,297.79114,296.5463,297.23026
1853-03,297.6656,298.07767,297.85196,297.34943,296.87836
1853-04,297.11118,297.89478,296.3638,295.54565,294.1546
1853-05,296.90787,297.51047,294.21408,293.7144,290.2549
1853-06,296.14597,296.80664,292.37552,291.43872,288.60864
1853-07,296.4673,297.27365,292.07977,291.1576,286.69315
1853-08,297.82556,299.2317,295.92297,294.33716,286.82126
1853-09,300.44922,300.38446,299.76028,295.04483,291.1858
1853-10,300.88773,299.2766,297.9248,294.96414,292.73727
1853-11,300.5364,299.0672,298.8149,296.06744,295.8492
1853-12,299.3783,298.52493,298.43143,296.75446,297.04056
1854-01,298.6396,299.1101,297.849,296.54535,297.62207
1854-02,298.05835,299.1209,297.74762,295.89664,296.8539
1854-03,298.3072,299.71774,297.9615,296.1736,296.2238
1854-04,297.86978,298.95,297.24374,295.8869,293.49567
1854-05,297.3651,298.27682,294.3094,292.8871,290.1545
1854-06,297.20566,298.3798,292.78647,291.69275,287.10437
1854-07,296.98224,299.06232,294.19193,292.59253,289.62885
1854-08,298.123,300.656,298.14328,295.2184,291.3161
1854-09,302.44342,302.63837,302.30096,296.59613,290.8946
1854-10,304.00806,301.59424,302.09467,297.05627,292.98486
1854-11,300.28406,300.47928,300.55905,296.47644,295.24353
1854-12,301.0413,301.22626,299.76425,297.92728,298.0068
1855-01,299.9813,300.96643,300.26724,298.423,297.99762
1855-02,300.38953,301.123,300.7893,298.562,297.44052
1855-03,300.30865,300.70593,299.53696,296.88196,295.5391
1855-04,299.3175,299.99106,297.92288,295.71234,293.36453
1855-05,299.50714,299.54742,295.4365,293.8233,290.0078
1855-06,299.75586,299.4361,294.56332,293.63412,288.1027
1855-07,299.22882,299.73083,295.10962,293.04913,288.62543
1855-08,299.37793,300.49765,296.98676,293.32315,290.24924
1855-09,301.99115,300.59677,299.9601,295.25146,291.2674
1855-10,300.4115,299.6596,299.68332,295.25308,292.9171
1855-11,298.8662,298.9518,299.63782,295.6347,296.0031
1855-12,299.00128,298.59818,298.13547,296.63837,297.38882
1856-01,298.46832,298.65833,297.65936,296.75238,297.228
1856-02,298.00742,298.11127,297.97403,297.23105,298.60452
1856-03,297.85626,297.9356,297.2158,295.85632,296.2353
1856-04,297.71448,297.8234,296.9212,294.9635,292.85336
1856-05,297.06738,297.411,293.46844,292.56445,289.87466
1856-06,296.8004,297.10608,293.35754,292.03583,289.50806
1856-07,296.29337,297.32062,293.6834,291.67828,288.3444
1856-08,297.19586,298.50763,296.64462,292.9713,289.2905
1856-09,299.86102,299.44998,299.85675,295.56476,292.9135
1856-10,301.6856,299.6136,300.7814,296.49896,293.1573
1856-11,298.39062,298.5548,300.1967,295.4322,295.58456
1856-12,298.2115,298.039,298.96396,296.58337,298.94733
1857-01,298.82666,298.0008,298.53717,297.14514,297.9059
1857-02,297.94696,297.97614,298.1631,297.3316,297.8424
1857-03,297.5668,298.0384,297.36346,295.92047,296.54227
1857-04,297.3482,297.77286,296.2443,294.102,293.0893
1857-05,297.08856,297.15686,294.47937,293.27808,290.87808
1857-06,296.91718,297.03555,292.61127,291.13297,288.51126
1857-07,296.53488,297.23657,292.5066,290.6079,286.61765
1857-08,297.12146,298.48935,296.52908,293.34033,289.67767
1857-09,299.65875,299.573,298.73987,294.70633,293.05344
1857-10,303.03345,299.6549,301.65915,296.51093,295.70532
1857-11,299.62805,298.87225,298.81772,295.32306,296.16187
1857-12,298.39368,298.20505,298.60373,296.64438,298.82452
1858-01,298.99176,298.2613,298.58566,297.21454,297.9976
1858-02,298.44678,298.80798,298.1295,296.91385,298.09305
1858-03,298.19147,298.87918,297.70993,295.64838,296.34824
1858-04,297.9805,298.51392,297.56442,295.38257,292.62982
1858-05,297.66864,298.13632,294.77765,293.34686,290.50958
1858-06,297.2621,297.64838,292.82483,291.419,286.83426
1858-07,296.90656,298.57816,294.3978,292.71222,288.54398
1858-08,298.60626,299.3839,295.95966,293.67322,286.8029
1858-09,301.25345,300.67175,299.73138,295.05197,291.60974
1858-10,302.15216,299.70798,299.3458,295.20935,293.5263
1858-11,299.4571,298.85782,300.30963,296.03113,295.98657
1858-12,299.29675,298.51898,298.53613,296.5329,298.3263
1859-01,298.9068,298.20236,298.69302,297.00085,298.03238
1859-02,299.40012,298.44794,298.8225,297.79132,297.82278
1859-03,299.37842,298.73203,297.7069,296.1231,296.76343
1859-04,298.20746,298.3087,297.18356,295.39423,293.7523
1859-05,297.75018,297.95758,294.26154,293.23248,290.25305
1859-06,297.85785,297.4798,293.7175,292.4097,289.51865
1859-07,297.43854,298.34042,293.92773,292.52417,289.13272
1859-08,298.17572,299.7486,297.8529,294.17407,290.40887
1859-09,301.24286,301.29834,299.69443,295.16104,290.78546
1859-10,301.32733,300.123,298.25452,294.7835,292.4154
1859-11,300.34534,299.69092,299.66534,296.1967,296.41138
1859-12,299.40106,298.80472,298.60916,296.60382,297.77097
