Data,surface_temperature-NE,surface_temperature-N,surface_temperature-C.O.,surface_temperature-SE,surface_temperature-S
2015-01,300.63916,298.95486,299.2301,298.40912,297.7597
2015-02,300.13773,298.68298,298.1534,298.07227,298.18948
2015-03,299.3271,298.71094,299.2559,298.2968,296.63483
2015-04,298.2589,298.43134,297.50705,296.22726,293.57617
2015-05,298.06927,297.90292,295.16168,293.95172,290.6335
2015-06,297.6927,297.47897,292.88257,291.47235,287.4098
2015-07,297.0687,297.8557,294.4424,293.03632,288.5274
2015-08,298.38345,299.09058,298.0196,295.70264,291.24026
2015-09,301.8933,300.32623,300.7616,296.27625,292.16733
2015-10,301.82715,299.6822,298.81876,296.03076,293.82498
2015-11,299.54407,299.36478,299.6223,296.52063,297.1434
2015-12,299.15588,298.36005,299.57834,298.55115,299.21838
2016-01,298.89417,298.51392,298.40283,298.18555,299.15857
2016-02,298.8968,298.83853,298.09183,298.2096,297.85254
2016-03,298.55878,299.0335,298.22314,298.18585,297.1447
2016-04,297.64392,298.2049,298.03687,296.33838,295.06042
2016-05,297.4375,297.81506,294.49515,293.6303,290.3504
2016-06,297.04898,297.80237,293.20786,292.27448,288.24194
2016-07,296.72925,297.55853,294.05145,292.64297,288.02454
2016-08,297.11646,298.78018,296.53247,294.50354,288.71338
2016-09,299.91675,300.16046,298.06027,294.86743,291.08383
2016-10,301.79816,300.0802,298.8717,295.28534,292.90277
2016-11,298.92126,299.2843,300.29745,296.0589,296.05655
2016-12,299.43018,298.7444,298.557,297.44012,298.48718
2017-01,298.87756,299.24146,297.90955,296.37973,299.67847
2017-02,298.66406,299.5617,298.22922,296.56787,298.087
2017-03,298.87686,299.42465,299.18253,296.6402,297.23206
2017-04,298.35324,298.76703,297.58398,295.2331,294.6386
2017-05,298.32648,298.3747,295.7606,294.13715,291.65076
2017-06,297.74506,298.5039,294.98193,293.30658,289.7711
2017-07,297.2696,298.9358,295.18915,292.88776,288.47446
2017-08,297.9393,299.94263,298.7324,295.2719,292.09497
2017-09,301.65604,301.7387,301.81952,296.56104,290.96646
2017-10,302.85077,301.59692,302.53363,297.70764,295.04144
2017-11,302.16254,300.87454,302.49216,297.75653,296.9826
2017-12,299.62036,300.50317,302.09976,297.81134,299.13818
2018-01,299.2137,300.95483,300.19366,297.68774,298.98578
2018-02,299.36346,300.69092,300.99026,299.26636,299.52536
2018-03,300.2871,301.0531,301.33762,298.61523,297.03867
2018-04,300.02945,300.3813,298.39963,296.8454,294.69498
2018-05,299.84332,299.94415,296.62634,294.88763,289.8767
2018-06,299.2836,299.6372,294.82,293.08618,288.73578
2018-07,299.05948,299.89487,295.0483,293.2313,287.02408
2018-08,299.03934,301.2655,297.73642,294.70245,290.05292
2018-09,302.44495,303.4209,301.2283,296.1148,292.59863
2018-10,303.04602,301.77383,300.65237,295.81036,293.31033
2018-11,302.057,300.7625,300.47455,296.52246,295.94543
2018-12,300.00256,299.52136,300.1431,297.84845,297.5747
2019-01,300.52322,299.69543,298.4932,297.22437,300.1976
2019-02,300.0385,299.50082,298.6336,298.4355,298.04175
2019-03,299.62665,299.56543,299.1763,297.45203,296.25516
2019-04,299.13437,299.1443,298.4366,296.55835,293.03656
2019-05,298.70554,298.53662,295.84323,294.87244,288.74277
2019-06,298.51825,298.08524,292.94666,292.1012,287.72525
2019-07,297.58255,298.25986,294.46588,293.13934,288.8519
2019-08,298.44177,299.38452,297.3192,294.97052,289.01074
2019-09,301.82025,300.81528,301.90936,297.61456,291.79196
2019-10,302.20837,300.678,301.03757,296.16486,294.73923
2019-11,300.4416,299.59033,300.57486,296.82843,296.05746
2019-12,299.54208,298.74042,299.94632,298.3584,298.5454
2020-01,300.16638,298.91046,298.94177,298.4074,298.67526
2020-02,299.01337,299.0661,298.4416,297.47778,297.85516
2020-03,299.42828,299.29456,299.0145,297.9447,296.92047
2020-04,298.9911,298.4148,297.38373,295.7575,294.12634
2020-05,297.7886,298.3199,295.7993,294.51807,291.09424
2020-06,297.65384,297.8094,293.6845,292.79877,287.488
2020-07,297.023,298.10754,294.60315,293.05893,288.7862
2020-08,297.32513,298.8963,297.21915,294.40863,288.99875
2020-09,299.8515,300.37274,299.75223,295.38196,292.87857
2020-10,302.8422,300.53253,301.1123,296.55438,293.8168
2020-11,300.30362,299.18198,300.10626,296.54797,295.5142
2020-12,298.8957,298.77597,299.35233,296.75116,297.9311
2021-01,299.7946,299.4076,300.34412,297.34445,298.1222
2021-02,298.30026,299.39496,298.96292,297.1254,299.8593
2021-03,299.44705,299.76596,298.60886,296.54828,296.5408
2021-04,298.81232,299.14117,298.61932,296.7929,294.39163
2021-05,298.45007,298.6136,295.83533,294.52625,291.19318
2021-06,297.82047,298.20947,294.89594,293.39996,290.33313
2021-07,297.11987,298.74335,294.7423,293.12158,288.15045
2021-08,297.9303,299.74213,298.35233,295.0218,289.82812
2021-09,301.0076,301.39252,301.83328,296.65582,292.90286
2021-10,300.6032,300.92584,301.2025,295.68173,293.6325
2021-11,299.86505,299.26672,299.21646,297.17316,297.25137
2021-12,299.2317,299.02908,299.2478,297.29352,299.0251
2022-01,299.2467,298.8469,299.02988,298.2522,299.30438
2022-02,299.69,298.9043,300.23517,299.36694,299.18417
2022-03,299.56348,299.20044,299.16708,298.3147,297.52274
2022-04,299.16284,299.01526,298.80176,297.7775,295.9321
2022-05,299.00482,298.67743,296.09915,295.06732,291.40573
2022-06,298.28503,298.37894,294.3825,293.07797,288.11304
2022-07,298.22662,298.56207,295.1848,293.71722,289.81238
2022-08,299.25522,299.99042,298.11313,295.6973,290.68155
2022-09,301.8963,301.6897,303.0842,297.58868,292.31808
2022-10,302.01007,300.75595,300.5623,296.91254,293.638
2022-11,300.84985,299.88965,299.8443,296.3537,296.54858
2022-12,299.6662,299.30737,300.00937,297.35706,297.47284
2023-01,300.0686,299.2295,300.56982,299.81668,300.0152
2023-02,300.39093,299.3841,299.3236,299.08752,300.20947
2023-03,299.69183,300.04834,300.1177,298.4872,297.55792
2023-04,298.95673,299.05035,298.8032,296.8614,294.43033
2023-05,298.72192,298.83353,296.3185,295.07098,292.16956
2023-06,298.85648,298.8473,294.65607,293.89026,288.45816
