Data,CARGA_N,CARGA_NE,CARGA_S,CARGA_SE
2000-01-01,53844.29999989,111512.89999995,115215.59999995,457103.8999999
2000-01-02,54235.39999995,117497.29999992,117595.19999994,465552.59999994
2000-01-03,57778.29999994,137664.19999994,150277.29999994,553481.89999988
2000-01-04,57701.19999998,138810.49999997,161609.79999997,581477.79999994
2000-01-05,58551.59999992,138074.89999992,167068.09999996,595390.49999992
2000-01-06,58240.39999992,139270.59999998,170648.69999995,608031.49999995
2000-01-07,58341.799999920004,135804.99999994,170528.49999996,609844.59999993
2000-01-08,54872.39999992,129464.99999994,151379.69999996,548788.19999994
2000-01-09,53823.99999994,118347.19999996,132566.89999997,500380.49999984
2000-01-10,58022.29999993,135436.09999993,170671.69999999,610597.29999995
2000-01-11,58002.39999996,137380.29999994,178441.39999996,633018.89999991
2000-01-12,58040.59999998,139524.69999998,178211.79999998,638505.59999992
2000-01-13,58284.49999992,141330.29999996,180133.79999994,641557.59999995
2000-01-14,58564.899999940004,142317.99999994,180774.59999995,648648.19999991
2000-01-15,56469.79999993,132100.39999995,154461.89999996,589579.1999999
2000-01-16,54332.09999995,122962.79999995,134908.19999995,526315.09999992
2000-01-17,58415.39999996,141195.29999993,173639.19999996,636568.09999993
2000-01-18,59516.79999993,145155.59999999,180416.94999998,653101.49999998
2000-01-19,58541.69999993,144685.59999996,177403.09999993,651976.69999994
2000-01-20,59869.89999997,145522.79999994,176762.69999996,606942.2999999099
2000-01-21,59034.49999995,142786.59999997,177275.49999996,623448.99999993
2000-01-22,57434.59999994,134067.99999995,160529.19999995,565738.59999993
2000-01-23,54338.19999993,122460.39999991,134784.09999993,512717.29999989
2000-01-24,58435.19999994,139299.39999994,171304.69999996,616157.69999994
2000-01-25,58754.49999995,143155.39999995,177989.39999994,620981.59999992
2000-01-26,59113.59999998,143903.19999997,173513.59999995,641486.69999992
2000-01-27,59629.99999994,145606.19999996,170692.19999998,612962.1999999
2000-01-28,59833.59999995,144715.09999992,169431.09999997,600372.99999996
2000-01-29,57654.29999994,135638.89999992,149143.49999996,544191.89999989
2000-01-30,54794.49999994,126208.49999996,130611.19999994,492362.09999993
2000-01-31,59374.39999992,143621.59999994,166552.49999996,613328.39999993
2000-02-01,59193.59999995,149323.19999995,170441.79999996,627230.9999999
2000-02-02,59376.29999992,150713.79999998,168745.99999994,629214.79999992
2000-02-03,59737.89999995,150710.99999996,177457.19999992,634175.49999987
2000-02-04,59884.19999992,148362.69999999,173468.09999997,647604.99999991
2000-02-05,57515.39999995,137274.89999997,148643.99999993,584594.79999991
2000-02-06,55133.59999993,127694.29999991,130105.29999993,511594.39999992
2000-02-07,58328.49999996,143931.59999991,168346.09999996,612637.0999999
