Data,CARGA_N,CARGA_NE,CARGA_S,CARGA_SE
2000-01-31,1783847.19999816,4215522.79999838,5004542.14999866,18200610.4999976
2000-02-29,1676688.69999828,4023000.79999873,4793630.59999853,17809796.79999764
2000-03-31,1791531.79999797,4344923.19999846,5086940.26999859,18950316.13798749
2000-04-30,1740650.49999814,4151784.99999828,4808868.19999861,18253458.79999753
2000-05-31,1831579.09999808,4344943.89999852,4946921.39999863,18940391.99999748
2000-06-30,1790830.99999795,4102205.19999839,4827189.9999985,18472148.19999738
2000-07-31,1816605.69999792,4190988.39999783,4903056.22999862,18823197.99999724
2000-08-31,1907964.59999802,4303267.299998,4999071.99999845,19348752.89999739
2000-09-30,1862337.8599986,4235043.79999852,4723947.59999821,18752722.24999742
2000-10-31,1906216.60999835,4569424.69999835,5028413.9999979,20123141.29999741
2000-11-30,1844831.38999819,4479307.7999981,4914357.59999849,18902421.2999977
2000-12-31,1889869.53999812,4533515.69999846,5129468.03999834,19374917.46999744
2001-01-31,1876265.41999803,4537223.49999863,5370280.86999806,19809726.2599972
2001-02-28,1685543.89999831,4195785.49999886,5020038.89999814,18506428.32999761
2001-03-31,1877334.89999808,4602651.6999986,5756912.49999801,20701549.26999746
2001-04-30,1831210.31999813,4299091.59999872,5155825.29999815,19594054.7999977
2001-05-31,1939752.85999812,4376159.19999848,5016647.39999794,18641023.32999759
2001-06-30,1828333.61999804,3273676.09999813,4620617.62999804,14769233.08999777
2001-07-31,1652135.50999808,3327369.19999829,4761096.89999804,14770206.57999791
2001-08-31,1600075.43999812,3419520.59999821,4960877.39999793,15174092.22999757
2001-09-30,1487089.81999818,3422228.20999809,4630166.49999797,14865725.00999767
2001-10-31,1558784.12999803,3637098.25999843,4922039.22999777,15588524.38899758
2001-11-30,1482341.27999815,3571983.01999857,4862330.15999791,15482898.07999749
2001-12-31,1508130.89999836,3706100.68999837,4913701.87999803,15883661.9099976
2002-01-31,1614356.9999981,3659041.57999845,4978256.96994074,16903589.99005186
2002-02-28,1464644.29999815,3526440.66999871,4578632.89031593,15760215.87967749
2002-03-31,1716035.49999773,4001277.69999879,5304480.44010487,18699101.70988776
2002-04-30,1796806.89999796,4008432.75299633,4971651.32986699,18556452.00012589
2002-05-31,1697867.3999981,4101637.20699838,4895014.98005559,18432206.5999371
2002-06-30,1653953.39999808,3905899.15807797,4699740.4303461,17731366.90964681
2002-07-31,1763209.29999799,4134824.91999834,4837664.08376758,18032957.90822516
2002-08-31,1815069.09999796,4216285.84999864,4886168.51980158,18711519.95099111
2002-09-30,1689968.59999822,4210464.42999836,4604038.98977061,17978736.90022234
2002-10-31,1687317.19999833,4527968.99886231,5063690.90993296,20181750.05005968
2002-11-30,1665702.19999833,4450153.23999871,4854119.49969135,18996405.55030153
2002-12-31,1925762.29999818,4538480.0199986,4947608.43022077,19073303.6997718
2003-01-31,1942780.39999813,4577361.67999847,5230293.37049185,19116145.29950081
2003-02-28,1802644.39999863,4004177.02999838,4946526.7096598605,18485123.9903335
2003-03-31,2018280.09999871,4340003.68999828,5267838.48988275,19634056.32010984
2003-04-30,1997601.95999883,4311355.30999838,4898912.7898945,18889737.19409842
2003-05-31,2118143.29999865,4404197.6099982,4908458.15287357,18863933.80011902
2003-06-30,2061210.59999874,4128841.62699835,4731980.78170902,18234782.49028388
2003-07-31,2042928.74999878,4302944.65999856,4952729.97996511,18829739.8500275
2003-08-31,1941901.25999835,4406508.5499987,4885713.39992424,18946118.92006837
2003-09-30,1919568.40999854,4430413.80999855,4876626.94025959,18894690.59973335
2003-10-31,1996508.46999862,4705822.4899985,5115940.49006108,19961342.29993163
2003-11-30,2068416.6499991901,4545165.84999832,5000955.54028035,19299265.06471263
2003-12-31,2105000.84999907,4752982.20999855,5082480.54994436,19837225.11004831
2004-01-31,2133024.19999913,4445501.48799863,5361203.39038938,19549293.16960336
2004-02-29,1980994.89999891,4134032.28999824,5147148.14991601,18654157.96007714
2004-03-31,2174402.49999887,4612516.87999874,5684012.64017842,20475507.42022331
2004-04-30,2105813.29999905,4471032.98999831,5343121.10964616,19672802.77034676
2004-05-31,2223687.39999908,4589619.60999828,5179172.72009406,19795084.3198986
2004-06-30,2158271.79999918,4319996.61999842,5078431.34041456,19137202.88357837
2004-07-31,2225662.0999994,4491679.2399985,5261341.82004936,19833419.87474321
2004-08-31,2243026.49999962,4628812.90999838,5291468.95997256,20220899.73102007
2004-09-30,2190846.19999941,4638385.6799982805,5205421.53985848,20466999.58613443
2004-10-31,2256765.39999947,4909605.12999843,5251410.73970346,20661992.76028925
2004-11-30,2176091.67999934,4821049.10999823,5213981.11019803,20272397.60179503
2004-12-31,2248383.69999949,5010674.71999837,5543816.74007573,20605409.90991697
2005-01-31,2218793.79999935,4985558.75999821,5812802.01010364,20705060.68988908
2005-02-28,2009982.39999904,4479696.85999863,5400981.38983805,19034099.06015542
2005-03-31,2262683.44999898,5039895.32999828,6082353.6895398,21821437.57045292
2005-04-30,2191028.70999872,4846722.28999828,5545430.12007949,21319959.60991352
2005-05-31,2315424.70999896,4874161.88999833,5441597.52963748,20722533.23035525
2005-06-30,2251193.95999917,4601826.71999834,5325225.43002575,20103191.92596715
2005-07-31,2251899.3699994,4768390.81999812,5300436.56000673,20249622.92998595
2005-08-31,2331849.78999936,4889187.88999807,5422829.20894539,21203403.67604786
2005-09-30,2282168.89999947,4894088.52999833,5183659.52199774,20334864.53499729
2005-10-31,2351748.80799928,5122485.15499814,5447492.13499772,21569899.94399736
2005-11-30,2309055.87099946,5017050.34799839,5482962.57999792,20384972.82599742
2005-12-31,2392247.17999925,5122105.68999837,5747247.1799984,20953865.99599722
2006-01-31,2412046.32999857,5157803.13999817,6037897.78999859,21881112.46999748
2006-02-28,2207591.15999865,4718033.17999854,5564410.48999881,20260738.38799752
2006-03-31,2459294.67999835,5196115.49999852,6257250.61999836,22800832.05999731
2006-04-30,2348707.06999825,4837359.66999847,5514223.25999856,20876252.65999739
2006-05-31,2493325.06999846,4942469.90999808,5701674.08882674,21107081.73999754
2006-06-30,2445559.92999861,4699025.32999809,5531057.00999861,20488450.99999711
2006-07-31,2473279.50999893,4869081.59399799,5663640.50999875,21358081.92599725
2006-08-31,2557574.41999913,5081148.67999818,5759501.0699987,22081762.38999719
2006-09-30,2456828.76999959,5053663.77299818,5399803.26999845,20938391.03099728
2006-10-31,2544741.87299947,5354131.14399796,5775665.19999846,21766017.63499691
2006-11-30,2440734.85999933,5204469.42999809,5630719.87999871,21453335.09999734
2006-12-31,2530747.87299943,5415642.90199783,5937402.36999852,22115724.86499742
2007-01-31,2544610.70999911,5534811.40999811,6212347.14999855,22290270.82999708
2007-02-28,2226369.33999943,4758379.32999846,5731716.59999858,20812344.34999721
2007-03-31,2522173.07899883,5325324.82099788,6523006.48999825,24311009.88599696
2007-04-30,2506404.40999866,5129830.42999822,5887667.25999803,22572042.91999777
2007-05-31,2631900.14999861,5246716.76999832,5892322.55999778,22231827.02999724
2007-06-30,2489727.06999938,5006423.42999819,5643370.74499781,21270588.96999732
2007-07-31,2554942.01999962,5229001.36999808,5885466.19299759,22002875.33999732
2007-08-31,2623465.9699994,5250167.17999824,5978054.82999748,22741310.28399758
2007-09-30,2557876.10999936,5219223.98999804,5680567.71899826,22439520.00799749
2007-10-31,2650360.67999954,5609928.96999805,6058510.51599771,23783558.14999699
2007-11-30,2543966.49999956,5540663.8399979,5830515.18999799,22500763.36999729
2007-12-31,2600446.69999922,5575776.95999836,6214784.18999797,23217498.74999735
2008-01-31,2580017.1499992,5552723.6859987,6513359.54999776,23205960.01399714
2008-02-29,2459157.89099873,5218481.16399871,6266825.83999819,21926242.82499741
2008-03-31,2646365.8099985,5494551.22999883,6524563.01999851,23990976.46999729
2008-04-30,2596235.62999839,5381057.99999886,6146828.61999861,23221820.21999733
2008-05-31,2709620.42999855,5555127.33999865,5958404.16299829,22939479.68999708
2008-06-30,2616344.18999898,5204051.12999869,5960518.58399765,22479272.16999739
2008-07-31,2696651.13999912,5327677.31999861,6230112.19899778,23313850.1199974
2008-08-31,2748028.6199992,5485870.0799982,6130209.45399808,24046341.98999713
2008-09-30,2693874.67999912,5516198.56999799,5932496.07999766,23102860.49999737
2008-10-31,2786012.66699888,5807691.38499809,6200159.46999765,24488346.75799721
2008-11-30,2658377.10999906,5641218.31199821,6013989.98999746,22274312.47799745
2008-12-31,2692557.69999903,5471362.12999822,6136892.71999774,21461151.32999716
2009-01-31,2655432.26999817,5427127.51999842,6208597.81095792,22009372.15999733
2009-02-28,2340740.86999848,4950456.86999871,6003269.57399846,21052752.28999763
2009-03-31,2656188.12999821,5663342.03999837,6767045.44299838,24015016.49999723
2009-04-30,2557902.81999846,5291581.04999858,6147130.4719987,21726748.51999727
2009-05-31,2633364.53999841,5299624.85999815,6100345.98799862,22157339.92999735
2009-06-30,2608889.27999862,5108976.17999824,5947633.8919986,20929807.01999705
2009-07-31,2654926.25999878,5366314.03999788,6100476.75999793,22399381.67999727
2009-08-31,2668845.58999906,5452153.1499981,5940470.11999726,22837012.44999734
2009-09-30,2617436.32999867,5575742.2499983,5793336.4399972,23028559.02479702
2009-10-31,2685906.02999908,5904000.4199981,6083133.25999726,23754688.97999704
2009-11-30,2629206.60999903,5730573.74999819,6281307.71999746,24218152.81999735
2009-12-31,2723193.82999896,5951741.81999818,6384468.42999744,24148854.13999749
2010-01-31,2762934.76988255,5930892.87999825,6606326.80674882,24886825.90380546
2010-02-28,2558147.5399985,5570392.66999839,6449381.45499765,23484880.09999769
2010-03-31,2907176.82999813,6382907.40999813,7027412.7499975,25853677.0799971
2010-04-30,2764473.32999838,5885707.70899839,6206931.13999739,23650724.96999742
2010-05-31,2892333.11999812,6184246.20527259,6127156.01999769,23957629.37999712
2010-06-30,2730542.39999901,5766158.86999818,6095440.49999759,22935896.16999764
2010-07-31,2810107.4899987,5838084.57999836,6389091.3999973,24133582.11999709
2010-08-31,2872795.81999901,5763232.35999824,6382623.67999726,24287566.17999719
2010-09-30,2835371.00999874,5761000.16999841,6180930.68999757,24378918.29999763
2010-10-31,2899497.16999877,6220828.43999783,6339723.73999715,24551644.40999699
2010-11-30,2809999.06999897,5991136.15999841,6515181.40599809,23777294.89999711
2010-12-31,2865730.05999912,6017741.32999828,6788389.28999728,25498363.40999698
2011-01-31,2822419.38999813,5932698.72999828,7270957.0399975795,25895892.5799972
2011-02-28,2596556.31999835,5435093.16999849,6699226.19999759,24910876.40119738
2011-03-31,2930136.63999795,6169061.14999843,7160849.17999725,25940200.91312655
2011-04-30,2905837.57999841,5906294.76999847,6419865.2799975,25102388.17999706
2011-05-31,3049560.3599985,5953962.87999832,6582501.82999739,24774290.37999751
2011-06-30,2904558.75999818,5705525.2699984,6401155.48999753,23443864.71999739
2011-07-31,2932772.44999871,5852477.86999835,6693462.18999757,24586850.09999711
2011-08-31,3034665.99999858,6055404.74999832,6920666.26999709,25817027.78999715
2011-09-30,2972062.84999832,5961226.1599984,6562800.38999712,25080794.23999722
2011-10-31,3022786.50999897,6238463.33999771,6880338.64999725,25580006.82999744
2011-11-30,2909964.27999852,6054298.31999827,6905964.63999776,25014688.02999769
2011-12-31,3026368.36999809,6343321.4899979,7304720.18999802,26100587.359997
2012-01-31,2979386.44999794,6405022.03399808,7565209.07499817,26143227.56999681
2012-02-29,2834473.45999816,5944865.24999813,7648221.44199801,26298379.0599972
2012-03-31,3087236.00999768,6633217.17599777,7905272.61899803,28377716.13699689
2012-04-30,3016478.14999797,6387677.24199795,6993213.81399871,26229558.10899712
2012-05-31,3062650.609998,6514412.53299783,7204683.76299869,25325951.11399669
2012-06-30,2832445.04999848,6108481.54199827,6745843.57099769,23325534.35677322
2012-07-31,2922364.03999855,6253103.08499822,6976102.03899784,24219688.84299702
2012-08-31,3009414.7499986,6303980.08299823,7226811.82335751,25941737.19510097
2012-09-30,2974315.93999855,6296833.30399813,6796263.12399777,25597942.97099726
2012-10-31,3050711.60999853,6523069.34199816,7211947.47185818,27393525.94999723
