Data,NIN 1.2,NIN 3,NIN 3.4,NIN 4_1,NIN 4_2
2000-01-01,296.47656,296.71484,297.8374,301.82373,299.24365
2000-01-02,296.51294,296.71704,297.82104,301.85815,299.23315
2000-01-03,296.5376,296.7588,297.8208,301.8794,299.23584
2000-01-04,296.5957,296.7998,297.84473,301.8672,299.25098
2000-01-05,296.65308,296.8562,297.89038,301.8269,299.27026
2000-01-06,296.7334,296.92236,297.94873,301.75732,299.271
2000-01-07,296.8335,296.9961,298.0005,301.68408,299.25244
2000-01-08,296.91455,297.06396,298.0083,301.60205,299.21436
2000-01-09,296.97925,297.11792,297.98462,301.54126,299.17212
2000-01-10,297.0288,297.13135,297.95068,301.5083,299.1294
2000-01-11,297.06274,297.135,297.91382,301.48218,299.0974
2000-01-12,297.1228,297.12622,297.89087,301.47485,299.06763
2000-01-13,297.21118,297.11694,297.88647,301.4724,299.0398
2000-01-14,297.30273,297.11768,297.90674,301.49463,299.0171
2000-01-15,297.32983,297.14624,297.90405,301.52417,299.01245
2000-01-16,297.34473,297.16602,297.89648,301.55762,299.01758
2000-01-17,297.33594,297.1836,297.896,301.5835,299.0415
2000-01-18,297.2522,297.1643,297.87817,301.57153,299.08618
2000-01-19,297.18018,297.1167,297.86768,301.53662,299.1294
2000-01-20,297.11353,297.08618,297.84497,301.4973,299.16724
2000-01-21,297.08862,297.06372,297.83667,301.46362,299.19214
2000-01-22,297.10132,297.0598,297.84155,301.4187,299.20483
2000-01-23,297.2063,297.09595,297.82788,301.37378,299.20288
2000-01-24,297.3838,297.1455,297.83105,301.34766,299.19043
2000-01-25,297.58228,297.1985,297.83423,301.3391,299.16626
2000-01-26,297.92505,297.2727,297.8557,301.3606,299.1272
2000-01-27,298.21777,297.38965,297.8745,301.37354,299.06592
2000-01-28,298.48096,297.5786,297.89355,301.36133,298.97852
2000-01-29,298.65845,297.74194,297.91187,301.3435,298.8933
2000-01-30,298.75732,297.83838,297.93115,301.32275,298.8501
2000-01-31,298.7942,297.89526,297.9568,301.31128,298.81128
2000-02-01,298.85254,297.96338,297.98975,301.30518,298.78564
2000-02-02,298.9629,298.10498,298.0293,301.28516,298.76172
2000-02-03,299.10962,298.2859,298.06323,301.27612,298.75854
2000-02-04,299.20312,298.3911,298.07373,301.26904,298.771
2000-02-05,299.2583,298.46582,298.0786,301.24658,298.81104
2000-02-06,299.26538,298.5227,298.08276,301.2058,298.84644
2000-02-07,299.21558,298.5232,298.1062,301.14722,298.88843
2000-02-08,299.0935,298.5056,298.1267,301.09448,298.92456
2000-02-09,298.96045,298.45068,298.1421,301.06982,298.94287
2000-02-10,298.81177,298.40112,298.16187,301.0652,298.9392
2000-02-11,298.71655,298.35474,298.17456,301.04272,298.94507
2000-02-12,298.65576,298.3457,298.19775,301.0083,298.9673
2000-02-13,298.6704,298.37354,298.2251,300.9995,298.99268
2000-02-14,298.77295,298.42822,298.25342,300.9917,298.98877
2000-02-15,298.9253,298.5,298.2666,301.0039,298.9707
2000-02-16,299.0835,298.5547,298.2881,301.01367,298.95312
2000-02-17,299.39233,298.61597,298.33276,300.99976,298.93628
2000-02-18,299.64697,298.6621,298.3667,300.98193,298.9204
2000-02-19,299.75928,298.67236,298.36377,300.95947,298.92432
2000-02-20,299.88818,298.687,298.36475,300.93408,298.937
2000-02-21,299.8672,298.70703,298.35156,300.90625,298.96582
2000-02-22,299.84692,298.72778,298.36792,300.87573,298.97437
2000-02-23,299.86475,298.76318,298.3999,300.8589,298.98486
2000-02-24,299.85596,298.80225,298.42822,300.8745,298.9751
2000-02-25,299.81763,298.8357,298.4607,300.88452,298.9607
2000-02-26,299.77612,298.87085,298.49683,300.8943,298.9519
2000-02-27,299.69653,298.90942,298.54907,300.88013,298.9602
2000-02-28,299.60327,298.9602,298.61108,300.83472,298.9773
2000-02-29,299.5039,298.94727,298.64648,300.78223,298.98242
2000-03-01,299.4751,298.9458,298.68506,300.73096,298.98584
2000-03-02,299.49536,298.96948,298.71265,300.6902,299.0105
2000-03-03,299.5149,299.02466,298.74878,300.65503,299.04468
2000-03-04,299.57617,299.12646,298.79053,300.63232,299.08447
2000-03-05,299.65356,299.28003,298.84155,300.64722,299.13257
2000-03-06,299.71753,299.3977,298.87036,300.67603,299.14868
2000-03-07,299.77734,299.51465,298.88184,300.7256,299.14258
2000-03-08,299.82544,299.63208,298.88306,300.77466,299.13794
2000-03-09,299.88623,299.7544,298.90283,300.7964,299.15674
2000-03-10,299.917,299.81787,298.938,300.76807,299.18018
2000-03-11,299.9536,299.78955,298.95557,300.72314,299.18213
2000-03-12,299.90918,299.74414,298.96875,300.6797,299.18848
2000-03-13,299.76514,299.72168,298.99023,300.625,299.20117
2000-03-14,299.67285,299.78027,299.02344,300.59863,299.20898
2000-03-15,299.61304,299.89526,299.0642,300.61597,299.22046
2000-03-16,299.59863,299.99805,299.07812,300.6543,299.22266
2000-03-17,299.58154,300.11816,299.09277,300.6963,299.22852
2000-03-18,299.6001,300.21387,299.13184,300.7412,299.23633
2000-03-19,299.61963,300.34814,299.2246,300.78223,299.2588
2000-03-20,299.6577,300.42432,299.33496,300.78027,299.29102
2000-03-21,299.68555,300.43408,299.4082,300.75293,299.31738
2000-03-22,299.6853,300.4182,299.469,300.719,299.344
2000-03-23,299.70605,300.40088,299.53613,300.6963,299.37402
2000-03-24,299.7666,300.4004,299.6455,300.7129,299.43457
2000-03-25,299.8037,300.4502,299.74707,300.7588,299.47852
2000-03-26,299.8357,300.50806,299.79663,300.7937,299.5066
2000-03-27,299.88623,300.5498,299.81445,300.8164,299.52148
2000-03-28,299.93604,300.60254,299.8125,300.8369,299.5498
2000-03-29,299.98804,300.6975,299.82544,300.87427,299.60474
2000-03-30,300.0271,300.82446,299.85474,300.8938,299.66333
2000-03-31,300.04248,300.91992,299.87598,300.89844,299.708
2000-04-01,300.0376,300.958,299.9043,300.9043,299.73047
2000-04-02,300.0498,300.96143,299.9463,300.94238,299.75293
2000-04-03,300.0293,300.93652,300.00488,301.00684,299.78223
2000-04-04,299.98193,300.88037,300.06738,301.07227,299.79395
2000-04-05,299.88037,300.80957,300.11133,301.125,299.7666
2000-04-06,299.70605,300.7173,300.10352,301.1621,299.7373
2000-04-07,299.5769,300.6189,300.0857,301.18823,299.73218
2000-04-08,299.5193,300.53247,300.07837,301.20142,299.761
2000-04-09,299.4961,300.51318,300.0713,301.20605,299.8164
2000-04-10,299.48535,300.55762,300.08594,301.19043,299.89355
2000-04-11,299.53662,300.60156,300.11914,301.1631,299.98438
2000-04-12,299.57812,300.63672,300.14062,301.1338,300.0752
2000-04-13,299.6814,300.68384,300.13208,301.08228,300.136
2000-04-14,299.8474,300.73804,300.12183,301.0232,300.1599
2000-04-15,299.95117,300.76758,300.11816,300.98242,300.14062
2000-04-16,299.9829,300.76904,300.1123,300.95312,300.09863
2000-04-17,299.9353,300.74585,300.10718,300.95483,300.05737
2000-04-18,299.87744,300.72314,300.0996,300.9756,300.04883
2000-04-19,299.84766,300.70996,300.10254,301.00586,300.06738
2000-04-20,299.82178,300.71094,300.10938,301.0459,300.09277
2000-04-21,299.7871,300.71875,300.1289,301.0791,300.13086
2000-04-22,299.66797,300.71387,300.1543,301.12988,300.16797
2000-04-23,299.5161,300.65234,300.1582,301.1748,300.1953
2000-04-24,299.31714,300.57056,300.15845,301.22876,300.21802
2000-04-25,299.1328,300.49902,300.1582,301.26074,300.2539
2000-04-26,298.989,300.4348,300.1604,301.2561,300.28247
2000-04-27,298.9026,300.35962,300.16138,301.24536,300.28247
2000-04-28,298.82202,300.27612,300.13843,301.23804,300.2351
2000-04-29,298.8296,300.18604,300.0923,301.21533,300.1245
2000-04-30,298.91064,300.14648,300.05908,301.18896,300.01416
2000-05-01,298.91406,300.15283,300.05127,301.15186,299.99463
2000-05-02,298.886,300.14478,300.06177,301.11743,300.0022
2000-05-03,298.81226,300.1106,300.0686,301.11157,300.02466
2000-05-04,298.7173,300.0835,300.06885,301.14014,300.05518
2000-05-05,298.53638,300.07544,300.0735,301.1858,300.12036
2000-05-06,298.36304,300.05298,300.07837,301.24536,300.24243
2000-05-07,298.19043,300.0376,300.10107,301.3081,300.38037
2000-05-08,297.95874,300.03882,300.14917,301.39624,300.5066
2000-05-09,297.77588,300.05225,300.18604,301.44482,300.56787
2000-05-10,297.66235,300.0569,300.20825,301.46313,300.56958
2000-05-11,297.58643,300.05518,300.22852,301.47852,300.51953
2000-05-12,297.48804,300.05103,300.25415,301.47485,300.4856
2000-05-13,297.25854,300.05835,300.30103,301.5022,300.4807
2000-05-14,297.01,300.07642,300.34692,301.5442,300.51782
2000-05-15,296.80103,300.08228,300.37817,301.5891,300.57153
2000-05-16,296.64624,300.08374,300.39087,301.6477,300.62915
2000-05-17,296.5569,300.0813,300.4026,301.67505,300.67212
2000-05-18,296.54517,300.09644,300.4319,301.6809,300.7102
2000-05-19,296.57544,300.11792,300.47095,301.69067,300.72583
2000-05-20,296.6853,300.12622,300.48853,301.6809,300.70435
2000-05-21,296.81763,300.1267,300.48657,301.64966,300.66724
2000-05-22,296.95386,300.09692,300.47778,301.6184,300.64868
2000-05-23,297.0525,300.04565,300.4641,301.58325,300.6604
2000-05-24,297.05713,299.9878,300.45117,301.54688,300.6914
2000-05-25,296.9607,299.94946,300.42896,301.52173,300.72876
2000-05-26,296.83813,299.90356,300.41138,301.50903,300.77173
2000-05-27,296.7439,299.8557,300.40845,301.5315,300.79712
2000-05-28,296.70142,299.7683,300.3977,301.5774,300.83423
2000-05-29,296.72632,299.70288,300.37915,301.6194,300.89478
2000-05-30,296.8308,299.6731,300.40063,301.65454,300.9397
2000-05-31,296.90015,299.66528,300.4358,301.70142,300.9651
2000-06-01,296.93872,299.65698,300.47095,301.7561,300.9485
2000-06-02,296.91382,299.6057,300.47974,301.82544,300.9309
2000-06-03,296.85254,299.5464,300.46045,301.88232,300.9419
2000-06-04,296.76636,299.5022,300.4275,301.90698,300.94507
2000-06-05,296.64966,299.47046,300.39087,301.91138,300.94458
2000-06-06,296.50708,299.427,300.35278,301.9065,300.93872
2000-06-07,296.33374,299.3606,300.31958,301.9182,300.927
2000-06-08,296.18994,299.2837,300.30127,301.93506,300.91846
2000-06-09,296.0857,299.20776,300.27905,301.93628,300.91382
2000-06-10,296.04004,299.146,300.271,301.92236,300.9087
2000-06-11,295.98584,299.12354,300.28906,301.90625,300.91406
2000-06-12,295.89087,299.15894,300.34692,301.89868,300.91235
2000-06-13,295.75708,299.21997,300.40942,301.89673,300.8938
2000-06-14,295.68433,299.27808,300.4651,301.89868,300.88794
2000-06-15,295.64795,299.34082,300.50537,301.89014,300.88623
2000-06-16,295.65088,299.41553,300.53955,301.8911,300.89404
2000-06-17,295.68823,299.50024,300.57446,301.8977,300.91235
2000-06-18,295.73706,299.56274,300.59497,301.90356,300.9319
2000-06-19,295.78345,299.5598,300.5813,301.89575,300.93872
2000-06-20,295.80786,299.52026,300.5569,301.89966,300.93774
2000-06-21,295.79028,299.46167,300.52563,301.9143,300.9485
2000-06-22,295.76367,299.41357,300.49902,301.9297,300.9834
2000-06-23,295.70874,299.39087,300.4729,301.92212,301.03638
2000-06-24,295.64282,299.35815,300.44556,301.90552,301.0852
2000-06-25,295.5359,299.3152,300.42212,301.88403,301.1145
2000-06-26,295.37378,299.26,300.3694,301.85962,301.136
2000-06-27,295.15088,299.18408,300.29492,301.8291,301.12305
2000-06-28,294.94385,299.11377,300.20703,301.82617,301.04492
2000-06-29,294.77588,299.0498,300.1416,301.8584,300.95605
2000-06-30,294.6499,299.00244,300.09375,301.89648,300.8672
2000-07-01,294.58447,298.97998,300.0537,301.91797,300.78027
2000-07-02,294.5337,299.0005,300.01172,301.90234,300.70605
2000-07-03,294.48608,299.08813,300.01,301.86157,300.6692
2000-07-04,294.5066,299.20386,300.04224,301.8098,300.67798
2000-07-05,294.5586,299.28857,300.08643,301.75635,300.71045
2000-07-06,294.60645,299.31885,300.12842,301.69385,300.771
2000-07-07,294.66016,299.29736,300.15186,301.64502,300.83545
2000-07-08,294.67896,299.19165,300.11792,301.65405,300.8728
2000-07-09,294.656,299.0359,300.0354,301.70728,300.89282
2000-07-10,294.6023,298.85864,299.9397,301.80884,300.89478
2000-07-11,294.53516,298.6963,299.85938,301.88965,300.90723
2000-07-12,294.44263,298.5725,299.8069,301.94165,300.927
2000-07-13,294.33398,298.52637,299.81543,301.94336,300.93848
