Data,Eólica,Fotovoltaica,Hidráulica,Outras,Térmica,Eólica_N,Eólica_NE,Eólica_S,Eólica_SE,Fotovoltaica_N,Fotovoltaica_NE,Fotovoltaica_S,Fotovoltaica_SE,Hidráulica_N,Hidráulica_NE,Hidráulica_S,Hidráulica_SE,Outras_N,Outras_NE,Outras_S,Outras_SE,Térmica_N,Térmica_NE,Térmica_S,Térmica_SE
2000-01-01,0.0,0.0,687854.6,597.0,58655.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75551.4,109092.7,54197.0,449013.5,0.0,0.0,432.0,165.0,0.0,0.0,27965.9,30689.9
2000-01-02,0.0,0.0,703839.3,406.5,61178.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78597.9,112640.6,51151.8,461449.0,0.0,0.0,406.5,0.0,0.0,0.0,28834.4,32344.3
2000-01-03,0.0,0.0,847954.9,1645.0,61808.700000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80230.0,132471.7,70451.9,564801.3,0.0,0.0,370.0,1275.0,0.0,493.3,29513.2,31802.2
2000-01-04,0.0,0.0,885616.1,1849.6,64180.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81284.0,133580.0,77665.6,593086.5,0.0,0.0,432.0,1417.6,0.0,421.0,29192.0,34567.5
2000-01-05,0.0,0.0,909487.4,1935.0,60310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83334.7,134002.5,79709.7,612440.5,0.0,0.0,432.0,1503.0,0.0,446.7,25673.0,34190.3
2000-01-06,0.0,0.0,926775.9,2235.3,61097.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83219.4,134316.4,79046.09999999999,630194.0,0.0,0.0,432.0,1803.3,0.0,960.0,25955.2,34182.4
2000-01-07,0.0,0.0,923443.8,1842.4,63792.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81303.9,132235.4,80133.8,629770.7,0.0,0.0,403.8,1438.6,0.0,960.0,28583.4,34248.7
2000-01-08,0.0,0.0,838038.6,1290.0,58402.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67303.7,124171.9,70935.5,575627.5,0.0,0.0,345.0,945.0,0.0,960.0,24933.0,32509.1
2000-01-09,0.0,0.0,755761.6,382.3,61464.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71588.2,116158.8,59232.1,508782.5,0.0,0.0,382.3,0.0,0.0,680.0,26081.1,34703.5
2000-01-10,0.0,0.0,925519.2,1713.5,59470.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84754.7,127873.8,90663.5,622227.2,0.0,0.0,410.2,1303.3,0.0,0.0,25583.3,33887.3
2000-01-11,0.0,0.0,961167.8,1633.4,56488.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82436.8,131281.3,90367.3,657082.4,0.0,0.0,422.7,1210.7,0.0,0.0,26768.2,29720.3
2000-01-12,0.0,0.0,969098.7,2417.4,55347.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83175.2,133762.9,100986.0,651174.6,0.0,0.0,389.1,2028.3,0.0,0.0,26058.5,29289.1
2000-01-13,0.0,0.0,972284.8,2169.8,58671.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81885.8,136301.9,107498.3,646598.8,0.0,0.0,320.5,1849.3,0.0,0.0,27342.7,31328.6
2000-01-14,0.0,0.0,981300.0,2428.8,58203.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79932.2,138212.0,101721.6,661434.2,0.0,0.0,312.0,2116.8,0.0,0.0,27554.2,30649.1
2000-01-15,0.0,0.0,884106.0,773.4,57868.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79212.3,125996.8,78721.4,600175.5,0.0,0.0,326.1,447.3,0.0,0.0,27770.8,30097.399999999998
2000-01-16,0.0,0.0,788453.1,429.7,58295.200000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78509.6,116016.5,54609.1,539317.9,0.0,0.0,384.0,45.7,0.0,0.0,28469.0,29826.2
2000-01-17,0.0,0.0,959948.5,2098.6,58974.299999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81633.9,135481.7,98171.5,644661.4,0.0,0.0,348.6,1750.0,0.0,0.0,28011.2,30963.1
2000-01-18,0.0,0.0,990304.55,2329.3,53697.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79371.9,140214.5,104486.95,666231.2,0.0,0.0,357.7,1971.6,0.0,0.0,26075.1,27622.8
2000-01-19,0.0,0.0,981715.5,2193.7,60292.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79377.6,139652.3,106485.1,656200.5,0.0,0.0,353.7,1840.0,0.0,0.0,27225.7,33066.5
2000-01-20,0.0,0.0,940868.0,1321.7,56981.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79810.7,138015.3,95056.0,627986.0,0.0,0.0,360.0,961.7,0.0,0.0,23071.9,33910.0
2000-01-21,0.0,0.0,954509.9,3462.2,57164.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81268.3,137769.0,97581.5,637891.1,0.0,0.0,370.5,3091.7,0.0,263.8,23758.5,33142.0
2000-01-22,0.0,0.0,868271.5,1071.7,59926.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81195.5,125680.2,78270.2,583125.6,0.0,0.0,361.7,710.0,0.0,840.0,26053.9,33032.5
