Data,Eólica,Fotovoltaica,Hidráulica,Outras,Térmica,Eólica_N,Eólica_NE,Eólica_S,Eólica_SE,Fotovoltaica_N,Fotovoltaica_NE,Fotovoltaica_S,Fotovoltaica_SE,Hidráulica_N,Hidráulica_NE,Hidráulica_S,Hidráulica_SE,Outras_N,Outras_NE,Outras_S,Outras_SE,Térmica_N,Térmica_NE,Térmica_S,Térmica_SE
2000-01-01,0.0,0.0,27711264.85,50755.6,1811204.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2459950.9,4056002.8,2580967.05,18614344.1,0.0,0.0,11653.9,39101.7,0.0,13120.5,796827.7,1001256.3
2000-02-01,0.0,0.0,26849928.0,11439.0,1774608.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2196414.2,3929162.1,2784065.8,17940285.9,0.0,0.0,11439.0,0.0,0.0,36042.4,785591.8,952973.9
2000-03-01,0.0,0.0,28789383.89334,3845.4,1677248.0801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2261361.1,4273881.6,2736901.1,19517240.09334,0.0,0.0,3845.4,0.0,0.0,2002.8,720173.05,955072.2301
2000-04-01,0.0,0.0,27810598.9,3600.0,1411177.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2264178.2,4016253.1,2640159.1,18890008.5,0.0,0.0,3600.0,0.0,0.0,6220.1,715123.0,689834.5
2000-05-01,0.0,0.0,28813392.0,4403.1,1330555.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2430484.6,4134384.5,2614775.1,19633747.8,0.0,0.0,4403.1,0.0,0.0,0.0,737651.8,592903.9
2000-06-01,0.0,0.0,27376412.3,7536.9,1405342.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2459298.2,3858099.6,1982757.5,19076257.0,0.0,0.0,7536.9,0.0,0.0,0.0,766866.1,638476.5
2000-07-01,0.0,0.0,27679250.03,5147.5,1345678.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2301696.3,3970817.0,2120500.83,19286235.9,0.0,0.0,5147.5,0.0,0.0,127.4,656160.3,689391.1
2000-08-01,0.0,0.0,27812268.5,8189.2,1974647.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2447966.3,4122559.4,2131513.5,19110229.3,0.0,0.0,8189.2,0.0,0.0,0.0,675844.6,1298802.8
2000-09-01,0.0,0.0,27482979.38,18807.5,1759234.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2299545.46,4015554.5,3098875.6,18069003.82,0.0,0.0,18807.5,0.0,0.0,0.0,464635.5,1294598.93
2000-10-01,0.0,0.0,30034719.41,3536.7,1504013.9396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2111459.71,4579029.4,4558859.0,18785371.3,0.0,0.0,3536.7,0.0,0.0,0.0,420474.9,1083539.0396
2000-11-01,0.0,0.0,27613932.59,3573.9,2266698.6306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1979779.19,4515380.0,3663974.3,17454799.1,0.0,0.0,3573.9,0.0,0.0,0.0,563853.9,1702844.7306000001
2000-12-01,0.0,0.0,27617699.06,9228.8,2632671.9831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2223202.79,4457096.4,2967750.7,17969649.17,0.0,0.0,9228.8,0.0,0.0,0.0,837565.3,1795106.6831
2001-01-01,0.0,0.0,28962382.72,4398.1,2418392.8612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2523509.92,4224412.3,4525620.5,17688840.0,0.0,0.0,4398.1,0.0,0.0,120.7,872004.5,1546267.6612
2001-02-01,0.0,0.0,26913947.6,2984.2,2458757.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2361207.1,3855374.9,4403092.1,16294273.5,0.0,0.0,2984.2,0.0,0.0,41.0,759737.5,1698978.6300000001
2001-03-01,0.0,0.0,29808605.2,3730.3,2876248.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553605.4,4211095.6,5089262.0,17954642.2,0.0,0.0,3730.3,0.0,0.0,24721.3,988615.0,1862912.07
2001-04-01,0.0,0.0,28110677.32,2880.0,2412526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2566268.62,3603351.9,4567173.0,17373883.8,0.0,0.0,2880.0,0.0,0.0,31748.6,866028.4,1514749.0
2001-05-01,0.0,0.0,26629075.96,5385.5,2574530.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2830709.86,3565125.0,4435943.0,15797298.1,0.0,0.0,5385.5,0.0,0.0,20495.9,974682.9,1579351.83
2001-06-01,0.0,0.0,20979293.82,14169.0,2766489.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2681218.42,2399339.2,3722167.4,12176568.8,0.0,0.0,14169.0,0.0,0.0,26989.2,776412.9,1963087.29
2001-07-01,0.0,0.0,21521666.61,5460.1,2882215.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2109075.81,2319216.1,4960946.3,12132428.4,0.0,0.0,5460.1,0.0,0.0,39588.2,635788.3,2206838.98
2001-08-01,0.0,0.0,21557366.2,4618.0,3135294.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2146083.84,2398286.5,5084527.2,11928468.66,0.0,0.0,4618.0,0.0,0.0,38286.2,870621.9,2226386.57
2001-09-01,0.0,0.0,20601601.2,5178.0,3085156.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991028.22,2451745.9,4204493.4,11954333.68,0.0,0.0,5178.0,0.0,0.0,41954.67,888462.8,2154738.93
2001-10-01,0.0,0.0,22637673.53,3891.3,3035139.479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2170252.73,2591390.1,5263667.6,12612363.1,0.0,0.0,3891.3,0.0,0.0,68452.46,745749.5,2220937.519
2001-11-01,0.0,0.0,22074553.54,3696.5,2926821.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026158.58,2542530.7,4515343.36,12990520.9,0.0,0.0,3696.5,0.0,0.0,65579.02,768328.9,2092913.58
2001-12-01,0.0,0.0,22629794.84,3614.5,3223731.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2212480.7,2678562.4,4367847.85,13370903.89,0.0,0.0,3614.5,0.0,0.0,68650.39,808368.1,2346712.75
2002-01-01,0.0,0.0,23635930.78,3720.0,3149909.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2432313.2,2936891.5,2743676.98,15523049.1,0.0,0.0,3720.0,0.0,0.0,37352.18,819322.7,2293234.18
2002-02-01,0.0,0.0,22632634.71,3360.0,2677525.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2118409.7,2605566.8,3329636.01,14579022.2,0.0,0.0,3360.0,0.0,0.0,42334.27,755756.4,1879434.96
2002-03-01,0.0,0.0,27235627.69,3883.1,2460620.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2478846.1,3086473.1,3895431.86,17774876.63,0.0,0.0,3883.1,0.0,0.0,16245.1,913996.0,1530379.7
2002-04-01,0.0,0.0,26537238.6,3600.0,2759535.8931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2425148.27,3052569.5,3430135.8,17629385.03,0.0,0.0,3600.0,0.0,0.0,28446.9631,819587.3,1911501.6300000001
2002-05-01,0.0,0.0,26104956.66,3636.8,2988313.827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400158.4,3459237.3,3350134.4,16895426.56,0.0,0.0,3636.8,0.0,0.0,12855.007,792428.4,2183030.42
2002-06-01,0.0,0.0,25161253.83,3286.7,2757507.9681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2480294.5,3293132.7,4537359.8,14850466.83,0.0,0.0,3286.7,0.0,0.0,4341.8581,625988.7,2127177.41
2002-07-01,0.0,0.0,26105915.97,2212.8,2621205.792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2584677.0,3443417.3,4494766.4,15583055.27,0.0,0.0,2212.8,0.0,0.0,7572.87,536640.75,2076992.172
2002-08-01,0.0,0.0,27187482.97,240.0,2408004.5708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2345039.1,3531920.6,4508689.8,16801833.47,0.0,0.0,240.0,0.0,0.0,23139.27,560389.51,1824475.7908
2002-09-01,0.0,0.0,25885799.71,0.0,2567952.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2038703.8,3863262.5,4190553.1,15793280.31,0.0,0.0,0.0,0.0,0.0,11042.83,663279.5,1893630.18
